relative_path,language,section,slug,filename,exists_in_content,exists_in_backup,status_en,status_ja
en/glossary/AGI.md,en,glossary,AGI,AGI.md,yes,no,completed,completed
en/glossary/AlphaFold.md,en,glossary,AlphaFold,AlphaFold.md,yes,no,completed,completed
en/glossary/AlphaGo.md,en,glossary,AlphaGo,AlphaGo.md,yes,no,completed,completed
en/glossary/AlphaZero.md,en,glossary,AlphaZero,AlphaZero.md,yes,no,completed,completed
en/glossary/Context-Window.md,en,glossary,Context-Window,Context-Window.md,yes,no,completed,completed
en/glossary/Google-DeepMind.md,en,glossary,Google-DeepMind,Google-DeepMind.md,yes,no,completed,completed
en/glossary/Mistral-AI.md,en,glossary,Mistral-AI,Mistral-AI.md,yes,no,completed,completed
en/glossary/Model-Inversion.md,en,glossary,Model-Inversion,Model-Inversion.md,yes,no,completed,completed
en/glossary/Model-Stealing.md,en,glossary,Model-Stealing,Model-Stealing.md,yes,no,completed,completed
en/glossary/Natural-Language-Processing.md,en,glossary,Natural-Language-Processing,Natural-Language-Processing.md,yes,no,completed,completed
en/glossary/Risk-Assessment.md,en,glossary,Risk-Assessment,Risk-Assessment.md,yes,no,completed,completed
en/glossary/Unsupervised-consistency-metrics.md,en,glossary,Unsupervised-consistency-metrics,Unsupervised-consistency-metrics.md,yes,no,completed,completed
en/glossary/World-Models.md,en,glossary,World-Models,World-Models.md,yes,no,completed,completed
